GroupCode,StartStage,MigID,StartTofY,EndTofY,Leave_Period,Return_Period,isAnnualMigration,MinTimeAway,MaxTimeAway,MigrateStockReturn,MigPropSizeInc,MigPropSurvive,PartialExit,MinAgeLeave,MaxAgeLeave
FMI,0,0,360,30,15,15,1,0,0,0,0,0.9,0,0,0
FMI,1,0,330,120,15,15,1,0,0,0,0,0.9,0,0,0
FMA,0,0,270,180,15,15,1,0,0,0,0.1,0.9,0,0,0
FMA,1,0,270,180,15,15,1,0,0,0,0.1,0.9,0,0,0
SB,0,0,240,105,60,60,1,0,0,0,0,0.9,0,0,0
SB,1,0,240,105,60,60,1,0,0,0,0,0.9,0,0,0
WMW,0,0,285,150,60,60,1,0,0,0,0,0.98,0,0,0
WMW,1,0,285,150,60,60,1,0,0,0,0,0.99,0,0,0
WHB,0,0,285,150,60,60,1,0,0,0,0,0.98,0,0,0
WHB,1,0,285,150,60,60,1,0,0,0,0,0.99,0,0,0
